PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40145190,[Antibiotic prophylaxis when taking corticosteroids].,2025,,,N/A
40145185,[Adult female acne : when and why to consider a hormonal assessment?].,2025,,,N/A
40145156,Exploring psychosocial needs of young women with breast cancer in a country with crisis: a mixed-methods study.,2025,,,N/A
40145150,The survival outcomes of unilateral retinoblastoma in Malaysia.,2025,,,N/A
40145145,Treatment Outcomes of Squamous Cell Carcinoma of the Soft Palate and the Prognostic Significance of HPV/p16 Status.,2025,,,N/A
40145101,Understanding the relationship between cuproptosis and the development of hepatocellular carcinoma: implications for targeted therapies.,2025,,,N/A
40145100,"The application of emerging immunotherapy in the treatment of prostate cancer: progress, dilemma and promise.",2025,,,N/A
40145099,Programmed cell death-related prognostic genes mediate dysregulation of the immune microenvironment in triple-negative breast cancer.,2025,,,N/A
40145096,Single-cell and spatial transcriptomic analysis reveals tumor cell heterogeneity and underlying molecular program in colorectal cancer.,2025,,,N/A
40145094,Prediction model of axillary lymph node status using an automated breast volume ultrasound radiomics nomogram in early breast cancer with negative axillary ultrasound.,2025,,,N/A
